subject_id,mean_abs,ptp_median,chan_var_mean
s01,93.06698608398438,630.2698974609375,15537.9248046875
s02,63.34464645385742,430.59844970703125,7694.26171875
s03,74.4642333984375,504.943603515625,9823.3486328125
s04,78.59635925292969,561.1885986328125,10754.072265625
s05,68.93460845947266,482.541748046875,8422.93359375
s06,49.82896423339844,343.814208984375,4522.01025390625
s07,43.87444305419922,305.76373291015625,3559.32666015625
s08,67.27735900878906,437.8091735839844,8440.0263671875
s09,63.1063346862793,427.0566101074219,7090.8134765625
s10,82.9089584350586,575.7438354492188,11743.419921875
s11,92.6449203491211,579.9208984375,15647.7587890625
s12,115.88214111328125,759.857177734375,24217.98828125
s13,75.2455825805664,515.6905517578125,11421.8564453125
s14,96.77654266357422,644.1199340820312,16297.5576171875
s15,73.241943359375,470.7611999511719,10131.8798828125
s16,76.44982147216797,513.447998046875,10507.3828125
s17,61.03517150878906,416.43890380859375,6713.41162109375
s18,54.796730041503906,369.3254699707031,5344.64013671875
s19,76.91456604003906,472.61114501953125,11777.8095703125
s20,72.19397735595703,508.0980224609375,9065.12890625
s21,76.29850006103516,474.6715087890625,10580.455078125
s22,76.51246643066406,512.8071899414062,10489.884765625
s23,85.21858215332031,573.3431396484375,13181.271484375
s24,78.58101654052734,507.8101501464844,11553.390625
s25,65.33687591552734,437.500244140625,7711.068359375
s26,67.00839233398438,449.5827941894531,8077.43798828125
s27,92.50541687011719,516.6591186523438,21121.763671875
s28,82.22471618652344,567.5339965820312,11693.9892578125
s30,57.47459411621094,406.1922302246094,5761.30908203125
s31,73.0057601928711,488.25506591796875,9637.36328125
s32,89.21229553222656,589.6823120117188,14921.09765625
s33,94.49486541748047,592.8779296875,19279.525390625
s35,59.00267028808594,418.89642333984375,6134.56298828125
s36,69.04617309570312,467.486572265625,8201.7421875
s37,92.88803100585938,573.9087524414062,18140.6484375
s38,51.912635803222656,360.52020263671875,4674.94384765625
s39,171.78173828125,1079.1246337890625,58182.73828125
s40,69.29744720458984,461.4176940917969,9003.224609375
s41,110.7452621459961,735.8148193359375,21985.359375
s42,46.60099792480469,329.2252197265625,3791.6669921875
s43,77.54972839355469,553.00927734375,11310.1875
s44,99.69681549072266,688.90576171875,19923.26171875
s45,108.7026138305664,715.9913940429688,21803.3984375
s46,109.11431884765625,683.6322631835938,22560.154296875
s47,98.62422943115234,694.9591064453125,17867.5703125
s48,143.75112915039062,896.1815185546875,36999.33203125
s49,82.54048919677734,569.0404052734375,12303.2265625
s50,62.979766845703125,395.7742919921875,7865.80859375
s51,85.1128921508789,601.034912109375,13763.0107421875
s52,89.67037200927734,615.1768188476562,14589.8671875
