subject_id,trial_id,class_label,original_trial_index,event_sample,run_id,run_id_source,included,bad_amplitude,bad_emg,exclusion_reason
s01,s01_left_hand_000,left_hand,0,1023,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_001,left_hand,1,4607,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_002,left_hand,2,8191,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_003,left_hand,3,11775,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_004,left_hand,4,15359,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_005,left_hand,5,18943,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_006,left_hand,6,22527,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_007,left_hand,7,26111,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_008,left_hand,8,29695,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_009,left_hand,9,33279,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_010,left_hand,10,36863,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_011,left_hand,11,40447,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_012,left_hand,12,44031,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_013,left_hand,13,47615,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_014,left_hand,14,51199,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_015,left_hand,15,54783,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_016,left_hand,16,58367,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_017,left_hand,17,61951,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_018,left_hand,18,65535,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_019,left_hand,19,69119,1,inferred_from_protocol,True,False,False,
s01,s01_left_hand_020,left_hand,20,72703,2,inferred_from_protocol,True,False,False,
s01,s01_left_hand_021,left_hand,21,76287,2,inferred_from_protocol,True,False,False,
s01,s01_left_hand_022,left_hand,22,79871,2,inferred_from_protocol,True,False,False,
s01,s01_left_hand_023,left_hand,23,83455,2,inferred_from_protocol,True,False,False,
s01,s01_left_hand_024,left_hand,24,87039,2,inferred_from_protocol,True,False,False,
s01,s01_left_hand_025,left_hand,25,90623,2,inferred_from_protocol,True,False,False,
s01,s01_left_hand_026,left_hand,26,94207,2,inferred_from_protocol,True,False,False,
s01,s01_left_hand_027,left_hand,27,97791,2,inferred_from_protocol,True,False,False,
