subject_id,class_label,original_trial_index,run_id,exclusion_reason,source,notes
s02,left_hand,80,5,amplitude,provided_bad_trials,
s05,left_hand,14,1,emg_correlation,provided_bad_trials,
s06,left_hand,77,4,emg_correlation,provided_bad_trials,
s06,left_hand,79,4,emg_correlation,provided_bad_trials,
s06,right_hand,0,1,emg_correlation,provided_bad_trials,
s06,right_hand,9,1,emg_correlation,provided_bad_trials,
s06,right_hand,16,1,emg_correlation,provided_bad_trials,
s06,right_hand,19,1,emg_correlation,provided_bad_trials,
s06,right_hand,20,2,emg_correlation,provided_bad_trials,
s06,right_hand,21,2,emg_correlation,provided_bad_trials,
s06,right_hand,27,2,emg_correlation,provided_bad_trials,
s06,right_hand,31,2,emg_correlation,provided_bad_trials,
s06,right_hand,43,3,emg_correlation,provided_bad_trials,
s06,right_hand,46,3,emg_correlation,provided_bad_trials,
s06,right_hand,53,3,emg_correlation,provided_bad_trials,
s06,right_hand,57,3,emg_correlation,provided_bad_trials,
s06,right_hand,58,3,emg_correlation,provided_bad_trials,
s06,right_hand,59,3,emg_correlation,provided_bad_trials,
s06,right_hand,67,4,emg_correlation,provided_bad_trials,
s06,right_hand,69,4,emg_correlation,provided_bad_trials,
s06,right_hand,80,5,emg_correlation,provided_bad_trials,
s06,right_hand,81,5,emg_correlation,provided_bad_trials,
s06,right_hand,88,5,emg_correlation,provided_bad_trials,
s06,right_hand,89,5,emg_correlation,provided_bad_trials,
s07,left_hand,118,6,amplitude,provided_bad_trials,
s08,left_hand,47,3,emg_correlation,provided_bad_trials,
s08,left_hand,51,3,emg_correlation,provided_bad_trials,
s12,left_hand,35,2,emg_correlation,provided_bad_trials,
s12,left_hand,55,3,emg_correlation,provided_bad_trials,
s12,left_hand,58,3,emg_correlation,provided_bad_trials,
s12,left_hand,59,3,emg_correlation,provided_bad_trials,
s12,left_hand,65,4,emg_correlation,provided_bad_trials,
s12,left_hand,69,4,emg_correlation,provided_bad_trials,
s12,left_hand,83,5,emg_correlation,provided_bad_trials,
s12,left_hand,88,5,emg_correlation,provided_bad_trials,
s12,left_hand,89,5,emg_correlation,provided_bad_trials,
s12,left_hand,90,5,emg_correlation,provided_bad_trials,
s12,left_hand,93,5,emg_correlation,provided_bad_trials,
s12,left_hand,94,5,emg_correlation,provided_bad_trials,
s12,left_hand,95,5,emg_correlation,provided_bad_trials,
s12,left_hand,97,5,emg_correlation,provided_bad_trials,
s12,right_hand,25,2,emg_correlation,provided_bad_trials,
s12,right_hand,31,2,emg_correlation,provided_bad_trials,
s12,right_hand,39,2,emg_correlation,provided_bad_trials,
s12,right_hand,51,3,emg_correlation,provided_bad_trials,
s12,right_hand,53,3,emg_correlation,provided_bad_trials,
s12,right_hand,54,3,emg_correlation,provided_bad_trials,
s12,right_hand,55,3,emg_correlation,provided_bad_trials,
s12,right_hand,85,5,emg_correlation,provided_bad_trials,
s12,right_hand,91,5,emg_correlation,provided_bad_trials,
s12,right_hand,97,5,emg_correlation,provided_bad_trials,
s12,right_hand,98,5,emg_correlation,provided_bad_trials,
s12,right_hand,99,5,emg_correlation,provided_bad_trials,
s15,left_hand,34,2,emg_correlation,provided_bad_trials,
s15,left_hand,52,3,emg_correlation,provided_bad_trials,
s15,left_hand,80,5,amplitude;emg_correlation,provided_bad_trials,
s15,right_hand,25,2,emg_correlation,provided_bad_trials,
s15,right_hand,27,2,emg_correlation,provided_bad_trials,
s15,right_hand,30,2,emg_correlation,provided_bad_trials,
s15,right_hand,31,2,emg_correlation,provided_bad_trials,
s15,right_hand,33,2,emg_correlation,provided_bad_trials,
s15,right_hand,60,4,emg_correlation,provided_bad_trials,
s15,right_hand,95,5,amplitude,provided_bad_trials,
s16,left_hand,67,4,emg_correlation,provided_bad_trials,
s17,right_hand,28,2,amplitude,provided_bad_trials,
s19,left_hand,3,1,emg_correlation,provided_bad_trials,
s19,left_hand,13,1,emg_correlation,provided_bad_trials,
s19,left_hand,17,1,emg_correlation,provided_bad_trials,
s19,left_hand,56,3,emg_correlation,provided_bad_trials,
s19,left_hand,57,3,emg_correlation,provided_bad_trials,
s19,left_hand,61,4,emg_correlation,provided_bad_trials,
s19,left_hand,62,4,emg_correlation,provided_bad_trials,
s19,left_hand,67,4,emg_correlation,provided_bad_trials,
s19,left_hand,69,4,emg_correlation,provided_bad_trials,
s19,left_hand,71,4,emg_correlation,provided_bad_trials,
s19,left_hand,72,4,emg_correlation,provided_bad_trials,
s19,left_hand,73,4,emg_correlation,provided_bad_trials,
s19,left_hand,74,4,emg_correlation,provided_bad_trials,
s19,left_hand,75,4,emg_correlation,provided_bad_trials,
s19,left_hand,93,5,emg_correlation,provided_bad_trials,
s19,left_hand,95,5,emg_correlation,provided_bad_trials,
s19,left_hand,96,5,emg_correlation,provided_bad_trials,
s19,left_hand,98,5,emg_correlation,provided_bad_trials,
s19,left_hand,99,5,emg_correlation,provided_bad_trials,
s19,right_hand,1,1,emg_correlation,provided_bad_trials,
s19,right_hand,9,1,emg_correlation,provided_bad_trials,
s19,right_hand,12,1,emg_correlation,provided_bad_trials,
s19,right_hand,13,1,emg_correlation,provided_bad_trials,
s19,right_hand,15,1,emg_correlation,provided_bad_trials,
s19,right_hand,16,1,emg_correlation,provided_bad_trials,
s19,right_hand,27,2,emg_correlation,provided_bad_trials,
s19,right_hand,31,2,emg_correlation,provided_bad_trials,
s19,right_hand,41,3,emg_correlation,provided_bad_trials,
s19,right_hand,43,3,emg_correlation,provided_bad_trials,
s19,right_hand,44,3,emg_correlation,provided_bad_trials,
s19,right_hand,48,3,emg_correlation,provided_bad_trials,
s19,right_hand,49,3,emg_correlation,provided_bad_trials,
s19,right_hand,50,3,emg_correlation,provided_bad_trials,
s19,right_hand,51,3,emg_correlation,provided_bad_trials,
s19,right_hand,53,3,emg_correlation,provided_bad_trials,
s19,right_hand,54,3,emg_correlation,provided_bad_trials,
s19,right_hand,55,3,emg_correlation,provided_bad_trials,
s19,right_hand,56,3,emg_correlation,provided_bad_trials,
s19,right_hand,59,3,emg_correlation,provided_bad_trials,
s19,right_hand,60,4,emg_correlation,provided_bad_trials,
s19,right_hand,61,4,emg_correlation,provided_bad_trials,
s19,right_hand,62,4,emg_correlation,provided_bad_trials,
s19,right_hand,63,4,emg_correlation,provided_bad_trials,
s19,right_hand,64,4,emg_correlation,provided_bad_trials,
s19,right_hand,66,4,emg_correlation,provided_bad_trials,
s19,right_hand,67,4,emg_correlation,provided_bad_trials,
s19,right_hand,68,4,emg_correlation,provided_bad_trials,
s19,right_hand,69,4,emg_correlation,provided_bad_trials,
s19,right_hand,71,4,emg_correlation,provided_bad_trials,
s19,right_hand,73,4,emg_correlation,provided_bad_trials,
s19,right_hand,74,4,emg_correlation,provided_bad_trials,
s19,right_hand,75,4,emg_correlation,provided_bad_trials,
s19,right_hand,76,4,emg_correlation,provided_bad_trials,
s19,right_hand,79,4,emg_correlation,provided_bad_trials,
s19,right_hand,80,5,emg_correlation,provided_bad_trials,
s19,right_hand,93,5,emg_correlation,provided_bad_trials,
s19,right_hand,97,5,emg_correlation,provided_bad_trials,
s20,left_hand,0,1,emg_correlation,provided_bad_trials,
s20,left_hand,14,1,emg_correlation,provided_bad_trials,
s20,left_hand,15,1,emg_correlation,provided_bad_trials,
s20,left_hand,16,1,emg_correlation,provided_bad_trials,
s20,left_hand,17,1,emg_correlation,provided_bad_trials,
s20,left_hand,18,1,emg_correlation,provided_bad_trials,
s20,left_hand,20,2,emg_correlation,provided_bad_trials,
s20,left_hand,21,2,emg_correlation,provided_bad_trials,
s20,left_hand,25,2,emg_correlation,provided_bad_trials,
s20,left_hand,26,2,emg_correlation,provided_bad_trials,
s20,left_hand,27,2,emg_correlation,provided_bad_trials,
s20,left_hand,28,2,emg_correlation,provided_bad_trials,
s20,left_hand,29,2,emg_correlation,provided_bad_trials,
s20,left_hand,30,2,emg_correlation,provided_bad_trials,
s20,left_hand,31,2,emg_correlation,provided_bad_trials,
s20,left_hand,32,2,emg_correlation,provided_bad_trials,
s20,left_hand,33,2,emg_correlation,provided_bad_trials,
s20,left_hand,35,2,emg_correlation,provided_bad_trials,
s20,left_hand,36,2,emg_correlation,provided_bad_trials,
s20,left_hand,37,2,emg_correlation,provided_bad_trials,
s20,left_hand,38,2,emg_correlation,provided_bad_trials,
s20,left_hand,39,2,emg_correlation,provided_bad_trials,
s20,left_hand,43,3,emg_correlation,provided_bad_trials,
s20,left_hand,44,3,emg_correlation,provided_bad_trials,
s20,left_hand,45,3,emg_correlation,provided_bad_trials,
s20,left_hand,46,3,emg_correlation,provided_bad_trials,
s20,left_hand,47,3,emg_correlation,provided_bad_trials,
s20,left_hand,48,3,emg_correlation,provided_bad_trials,
s20,left_hand,49,3,emg_correlation,provided_bad_trials,
s20,left_hand,50,3,emg_correlation,provided_bad_trials,
s20,left_hand,51,3,emg_correlation,provided_bad_trials,
s20,left_hand,52,3,emg_correlation,provided_bad_trials,
s20,left_hand,53,3,emg_correlation,provided_bad_trials,
s20,left_hand,54,3,emg_correlation,provided_bad_trials,
s20,left_hand,55,3,emg_correlation,provided_bad_trials,
s20,left_hand,56,3,emg_correlation,provided_bad_trials,
s20,left_hand,57,3,emg_correlation,provided_bad_trials,
s20,left_hand,58,3,emg_correlation,provided_bad_trials,
s20,left_hand,59,3,emg_correlation,provided_bad_trials,
s20,left_hand,64,4,emg_correlation,provided_bad_trials,
s20,left_hand,66,4,emg_correlation,provided_bad_trials,
s20,left_hand,68,4,emg_correlation,provided_bad_trials,
s20,left_hand,69,4,emg_correlation,provided_bad_trials,
s20,left_hand,70,4,emg_correlation,provided_bad_trials,
s20,left_hand,71,4,emg_correlation,provided_bad_trials,
s20,left_hand,72,4,emg_correlation,provided_bad_trials,
s20,left_hand,73,4,emg_correlation,provided_bad_trials,
s20,left_hand,74,4,emg_correlation,provided_bad_trials,
s20,left_hand,75,4,emg_correlation,provided_bad_trials,
s20,left_hand,76,4,emg_correlation,provided_bad_trials,
s20,left_hand,77,4,emg_correlation,provided_bad_trials,
s20,left_hand,78,4,emg_correlation,provided_bad_trials,
s20,left_hand,79,4,emg_correlation,provided_bad_trials,
s20,left_hand,82,5,emg_correlation,provided_bad_trials,
s20,left_hand,83,5,emg_correlation,provided_bad_trials,
s20,left_hand,84,5,emg_correlation,provided_bad_trials,
s20,left_hand,85,5,emg_correlation,provided_bad_trials,
s20,left_hand,86,5,emg_correlation,provided_bad_trials,
s20,left_hand,87,5,emg_correlation,provided_bad_trials,
s20,left_hand,88,5,emg_correlation,provided_bad_trials,
s20,left_hand,89,5,emg_correlation,provided_bad_trials,
s20,left_hand,90,5,emg_correlation,provided_bad_trials,
s20,left_hand,91,5,emg_correlation,provided_bad_trials,
s20,left_hand,93,5,emg_correlation,provided_bad_trials,
s20,left_hand,94,5,emg_correlation,provided_bad_trials,
s20,left_hand,95,5,emg_correlation,provided_bad_trials,
s20,left_hand,96,5,emg_correlation,provided_bad_trials,
s20,left_hand,97,5,emg_correlation,provided_bad_trials,
s20,left_hand,98,5,emg_correlation,provided_bad_trials,
s20,left_hand,99,5,emg_correlation,provided_bad_trials,
s20,right_hand,23,2,emg_correlation,provided_bad_trials,
s20,right_hand,26,2,emg_correlation,provided_bad_trials,
s20,right_hand,27,2,emg_correlation,provided_bad_trials,
s20,right_hand,28,2,emg_correlation,provided_bad_trials,
s20,right_hand,29,2,emg_correlation,provided_bad_trials,
s20,right_hand,30,2,emg_correlation,provided_bad_trials,
s20,right_hand,31,2,emg_correlation,provided_bad_trials,
s20,right_hand,32,2,emg_correlation,provided_bad_trials,
s20,right_hand,33,2,emg_correlation,provided_bad_trials,
s20,right_hand,34,2,emg_correlation,provided_bad_trials,
s20,right_hand,36,2,emg_correlation,provided_bad_trials,
s20,right_hand,37,2,emg_correlation,provided_bad_trials,
s20,right_hand,38,2,emg_correlation,provided_bad_trials,
s20,right_hand,39,2,emg_correlation,provided_bad_trials,
s20,right_hand,40,3,emg_correlation,provided_bad_trials,
s20,right_hand,43,3,emg_correlation,provided_bad_trials,
s20,right_hand,44,3,emg_correlation,provided_bad_trials,
s20,right_hand,46,3,emg_correlation,provided_bad_trials,
s20,right_hand,47,3,emg_correlation,provided_bad_trials,
s20,right_hand,48,3,emg_correlation,provided_bad_trials,
s20,right_hand,49,3,emg_correlation,provided_bad_trials,
s20,right_hand,50,3,emg_correlation,provided_bad_trials,
s20,right_hand,51,3,emg_correlation,provided_bad_trials,
s20,right_hand,52,3,emg_correlation,provided_bad_trials,
s20,right_hand,53,3,emg_correlation,provided_bad_trials,
s20,right_hand,54,3,emg_correlation,provided_bad_trials,
s20,right_hand,56,3,emg_correlation,provided_bad_trials,
s20,right_hand,57,3,emg_correlation,provided_bad_trials,
s20,right_hand,58,3,emg_correlation,provided_bad_trials,
s20,right_hand,59,3,emg_correlation,provided_bad_trials,
s20,right_hand,68,4,emg_correlation,provided_bad_trials,
s20,right_hand,70,4,emg_correlation,provided_bad_trials,
s20,right_hand,71,4,emg_correlation,provided_bad_trials,
s20,right_hand,84,5,emg_correlation,provided_bad_trials,
s20,right_hand,85,5,emg_correlation,provided_bad_trials,
s20,right_hand,86,5,emg_correlation,provided_bad_trials,
s20,right_hand,87,5,emg_correlation,provided_bad_trials,
s20,right_hand,88,5,emg_correlation,provided_bad_trials,
s20,right_hand,89,5,emg_correlation,provided_bad_trials,
s20,right_hand,90,5,emg_correlation,provided_bad_trials,
s20,right_hand,91,5,emg_correlation,provided_bad_trials,
s20,right_hand,92,5,emg_correlation,provided_bad_trials,
s20,right_hand,94,5,emg_correlation,provided_bad_trials,
s20,right_hand,95,5,emg_correlation,provided_bad_trials,
s20,right_hand,97,5,emg_correlation,provided_bad_trials,
s20,right_hand,98,5,emg_correlation,provided_bad_trials,
s20,right_hand,99,5,emg_correlation,provided_bad_trials,
s21,right_hand,98,5,emg_correlation,provided_bad_trials,
s22,right_hand,0,1,amplitude,provided_bad_trials,
s23,left_hand,31,2,emg_correlation,provided_bad_trials,
s23,left_hand,72,4,emg_correlation,provided_bad_trials,
s23,right_hand,20,2,emg_correlation,provided_bad_trials,
